<span style="font-size: 32px; ">阿</span>	<span style="">ā</span><br><span style="">[sound prefix]</span><br><span style="">阿姨, āyí, aunt</span>
<br><span style="">[sound prefix]</span><br>	<span style="font-size: 32px; ">阿</span><br><span style="">ā</span><br><span style="">阿姨, āyí, aunt</span>
<span style="font-size: 32px; ">爱</span>	<span style="">ài</span><br><span style="">love</span><br><span style="">爱好, àihào, hobby</span>
<br><span style="">love</span><br>	<span style="font-size: 32px; ">爱</span><br><span style="">ài</span><br><span style="">爱好, àihào, hobby</span>
<span style="font-size: 32px; ">哎</span>	<span style="">āi</span><br><span style="">hey, [interjection]</span><br><span style=""></span>
<br><span style="">hey, [interjection]</span><br>	<span style="font-size: 32px; ">哎</span><br><span style="">āi</span><br><span style=""></span>
<span style="font-size: 32px; ">安</span>	<span style="">ān</span><br><span style="">still, quiet</span><br><span style="">晚安，wǎn'ān, good night<br>西安, Xī'ān, Xian (city)</span>
<br><span style="">still, quiet</span><br>	<span style="font-size: 32px; ">安</span><br><span style="">ān</span><br><span style="">晚安，wǎn'ān, good night<br>西安, Xī'ān, Xian (city)</span>
<span style="font-size: 32px; ">八</span>	<span style="">bā</span><br><span style="">eight</span><br><span style=""></span>
<br><span style="">eight</span><br>	<span style="font-size: 32px; ">八</span><br><span style="">bā</span><br><span style=""></span>
<span style="font-size: 32px; ">把</span>	<span style="">bǎ</span><br><span style="">grasp, hold, handle</span><br><span style=""></span>
<br><span style="">grasp, hold, handle</span><br>	<span style="font-size: 32px; ">把</span><br><span style="">bǎ</span><br><span style=""></span>
<span style="font-size: 32px; ">吧</span>	<span style="">bā</span><br><span style="">[sentence final particle, indicating suggestion]</span><br><span style=""></span>
<br><span style="">[sentence final particle, indicating suggestion]</span><br>	<span style="font-size: 32px; ">吧</span><br><span style="">bā</span><br><span style=""></span>
<span style="font-size: 32px; ">爸</span>	<span style="">bà</span><br><span style="">father</span><br><span style="">爸爸, bàba, father</span>
<br><span style="">father</span><br>	<span style="font-size: 32px; ">爸</span><br><span style="">bà</span><br><span style="">爸爸, bàba, father</span>
<span style="font-size: 32px; ">白 </span>	<span style="">bái</span><br><span style="">white, in vain</span><br><span style="">白色, báisè, white<br>明白, míngbái, understand</span>
<br><span style="">white, in vain</span><br>	<span style="font-size: 32px; ">白 </span><br><span style="">bái</span><br><span style="">白色, báisè, white<br>明白, míngbái, understand</span>
<span style="font-size: 32px; ">半</span>	<span style="">bàn</span><br><span style="">half</span><br><span style=""></span>
<br><span style="">half</span><br>	<span style="font-size: 32px; ">半</span><br><span style="">bàn</span><br><span style=""></span>
<span style="font-size: 32px; ">班</span>	<span style="">bān</span><br><span style="">class, work</span><br><span style=""> 西班牙，Xībānyá, Spain<br>上班, shàngbān, go to work</span>
<br><span style="">class, work</span><br>	<span style="font-size: 32px; ">班</span><br><span style="">bān</span><br><span style=""> 西班牙，Xībānyá, Spain<br>上班, shàngbān, go to work</span>
<span style="font-size: 32px; ">般 </span>	<span style="">bān</span><br><span style="">sort, kind</span><br><span style="">一般, yībān, normal, common</span>
